listing_id,high,medium,low
7142618,0.097711148,0.376802357,0.585871724
6922984,0.097711148,0.376802357,0.585871724
6860805,0.024383766,0.205772163,0.787663826
7113840,0.047908359,0.269975146,0.713705704
6843735,0.11496026,0.264751193,0.540396885
7098659,0.015764728,0.172997182,0.804896779
7209423,0.023225343,0.213567851,0.773143919
7099874,0.415185003,0.454965698,0.153286207
7098442,0.08299196,0.152421668,0.760533624
7225900,0.219900513,0.391392851,0.359568886
7170692,0.156515148,0.270820914,0.491661876
7226712,0.031860369,0.151730235,0.845145223
7210643,0.373395831,0.508660928,0.246593357
7232655,0.186001432,0.427046566,0.363288395
7098880,0.09602901,0.123048563,0.854308654
6849183,0.16573287,0.189262398,0.573425521
7099119,0.040071228,0.126292322,0.827033657
7200523,0.04407745,0.280181254,0.629537038
7171562,0.041030007,0.26057084,0.60195621
7226762,0.048262882,0.6522998,0.243847024
7226918,0.392629172,0.333018112,0.199443627
7226063,0.561224408,0.387786594,0.087417526
7099838,0.117357631,0.272729767,0.587850688
7211824,0.327634586,0.492606223,0.212454434
7225802,0.327634586,0.492606223,0.212454434
7201315,0.099828829,0.305515111,0.491815171
6885109,0.084996997,0.163614185,0.776246007
7200437,0.234480395,0.364699149,0.519409474
7160363,0.052503995,0.500800763,0.457009012
7226430,0.244742571,0.354013386,0.332789007
7099425,0.212702703,0.278560774,0.385987825
7201348,0.344729602,0.387360237,0.144746913
7160101,0.189850444,0.408670514,0.296039756
7170127,0.201653333,0.263795183,0.681114382
7159392,0.055533451,0.188824856,0.795306036
7210928,0.044083461,0.24106398,0.712085891
7092529,0.156438778,0.356214844,0.335153771
6887689,0.032742387,0.715665756,0.18823478
7169834,0.076240359,0.344044292,0.57004103
7210881,0.083584386,0.465810713,0.49780728
7211726,0.043820533,0.325197216,0.593207328
7210201,0.127941274,0.311051205,0.490789773
7200917,0.005109224,0.064680358,0.958595233
7173759,0.112332876,0.114264563,0.723001132
7170660,0.218065503,0.333656223,0.408838981
7226076,0.019646774,0.082642065,0.939922935
7226839,0.025035068,0.179851198,0.707636704
7170691,0.083617621,0.299747853,0.565868186
6922966,0.337965365,0.309705989,0.381165086
7226846,0.19916932,0.20375757,0.683985765
7226264,0.19916932,0.20375757,0.683985765
7211497,0.337965365,0.309705989,0.381165086
7210744,0.024026319,0.006811882,0.993753146
7210499,0.208252447,0.37248347,0.329253813
7099165,0.149109709,0.176822484,0.737330261
7227103,0.045516545,0.086353848,0.820278137
7226540,0.029975969,0.136664674,0.825676319
7172514,0.029975969,0.136664674,0.825676319
7209584,0.015740652,0.037664388,0.972449382
6932283,0.006051594,0.028261691,0.980436348
7098566,0.16698839,0.256973793,0.462385607
7210872,0.065142829,0.234100272,0.703574251
7200321,0.098022872,0.272913385,0.671245709
7099101,0.217463325,0.172246798,0.436537023
7159576,0.041376695,0.070870395,0.885390276
7200658,0.054396073,0.176709085,0.75330195
7159000,0.162496624,0.470765034,0.276992724
7226177,0.086936496,0.169548015,0.760414207
7099062,0.038573635,0.269155492,0.853101349
7173760,0.118441264,0.269606306,0.643114194
6849380,0.006945765,0.073499271,0.932233046
7159162,0.114208935,0.256283254,0.532220913
7099160,0.407562027,0.340031359,0.128014786
7178285,0.025894933,0.04587612,0.898260669
7098477,0.251730329,0.480332473,0.435879137
7171390,0.551135602,0.350555668,0.416164245
7209557,0.339402863,0.21790844,0.416164245
7098961,0.064126816,0.213550006,0.763182288
7099018,0.246734852,0.313395309,0.55155541
7210568,0.177559856,0.199779861,0.671844846
7231575,0.764351969,0.259084439,0.14156641
6883047,0.412359754,0.225303965,0.501446214
7172848,0.708792509,0.262196595,0.36451025
7098816,0.597692337,0.187848977,0.301918651
7200503,0.336179245,0.377517114,0.283876362
7226513,0.597692337,0.187848977,0.301918651
7227037,0.806017907,0.299764617,0.046933851
7098573,0.64751235,0.146118163,0.25219762
6968157,0.038562784,0.110656011,0.874308321
7002797,0.223523858,0.197421714,0.596164971
7025731,0.605330561,0.301793786,0.159751965
7079502,0.792194907,0.138062925,0.131066813
6820888,0.495551217,0.372243516,0.113021921
7171469,0.746426745,0.257093307,0.065087286
7026229,0.792194907,0.138062925,0.131066813
7002527,0.855955799,0.152019477,0.166667071
7002045,0.451646458,0.276016654,0.304509832
7038943,0.721245317,0.146179557,0.206622153
7032547,0.086728576,0.089301456,0.845275735
7042693,0.565879076,0.395968972,0.240649298
7211330,0.650608601,0.155808891,0.290559513
6967585,0.650608601,0.155808891,0.290559513
7071629,0.626535817,0.208655509,0.273874798
6912749,0.065231217,0.22118549,0.728084175
7071697,0.065231217,0.22118549,0.728084175
7079366,0.151669153,0.078542428,0.819587047
6959138,0.934701785,0.045458761,0.118445528
7002195,0.590920981,0.263715782,0.25780529
7066721,0.889328589,0.095697412,0.050399091
7039587,0.871003399,0.091521733,0.067312139
7060624,0.766391669,0.136778401,0.121624496
7063304,0.820935254,0.043469936,0.071117255
7047689,0.18661097,0.258567319,0.668991779
7030902,0.871937285,0.076805442,0.065475166
7201545,0.760866554,0.078737769,0.112856417
6889765,0.763089736,0.145348833,0.161226285
6959915,0.896215253,0.102008658,0.076983236
7060339,0.640329094,0.187685866,0.233223295
7061467,0.792086401,0.206542106,0.046845417
7201450,0.724482077,0.093490794,0.194993661
7025707,0.495529072,0.386346668,0.338839954
7075976,0.495529072,0.386346668,0.338839954
7003095,0.267441072,0.341800171,0.636566243
7026017,0.838348151,0.201013923,0.306466939
7046870,0.838348151,0.201013923,0.306466939
7072211,0.683971694,0.407055582,0.137170965
6931762,0.919370818,0.16347236,0.393213636
7060308,0.935441755,0.067457371,0.117036949
7209884,0.679061375,0.106026357,0.113336517
7061109,0.917706031,0.092973796,0.027958283
7078746,0.917706031,0.092973796,0.027958283
6968888,0.471105527,0.278378546,0.22172438
7060990,0.918004044,0.04986536,0.041337719
