listing_id,high,medium,low
7142618,0.135531157,0.234598845,0.629869998
6922984,0.131548002,0.23567979,0.632772207
6860805,0.135531157,0.234598845,0.629869998
7113840,0.133528218,0.229784891,0.636686921
6843735,0.13251017,0.242674127,0.624815702
7098659,0.132407501,0.227170572,0.640421927
7209423,0.133336037,0.237954065,0.628709853
7099874,0.133570671,0.237214923,0.629214406
7098442,0.134937942,0.234487623,0.630574405
7225900,0.132439822,0.236354664,0.631205499
7170692,0.132953376,0.233393624,0.633653045
7226712,0.132953376,0.233393624,0.633653045
7210643,0.133336037,0.237954065,0.628709853
7232655,0.135389745,0.236919224,0.627690971
7098880,0.134600908,0.22389394,0.641505122
6849183,0.130920455,0.235850081,0.633229434
7099119,0.132937282,0.237701774,0.629360974
7200523,0.135166392,0.227493197,0.637340367
7171562,0.132857546,0.23394613,0.633196294
7226762,0.132953376,0.233393624,0.633653045
7226918,0.133899033,0.227941006,0.63815999
7226063,0.132439822,0.236354664,0.631205499
7099838,0.134937942,0.234487623,0.630574405
7211824,0.133759439,0.235534266,0.63070631
7225802,0.005605118,0.044020053,0.950374832
7201315,0.047091757,0.190799866,0.762108386
6885109,0.014055917,0.187095047,0.798849041
7200437,0.036489582,0.251593072,0.71191735
7160363,0.005781499,0.012223723,0.981994758
7226430,0.028849052,0.135255901,0.835895043
7099425,0.018190687,0.250152775,0.731656536
7201348,0.003515424,0.024636758,0.971847816
7160101,0.01229736,0.122576861,0.865125777
7170127,0.021523274,0.091290252,0.887186471
7159392,0.004474035,0.020166988,0.975358964
7210928,0.001695294,0.013430356,0.984874339
7092529,0.081676562,0.335917864,0.58240557
6887689,0.008859294,0.173089209,0.818051496
7169834,0.013070097,0.124812558,0.862117344
7210881,0.000623888,0.011994511,0.987381638
7211726,0.027742284,0.231517408,0.740740308
7210201,0.088507539,0.361327754,0.55016471
7200917,0.027630678,0.067582599,0.904786722
7173759,0.023826629,0.01617477,0.959998577
7170660,0.001429795,0.008294154,0.990276032
7226076,0.047669207,0.20932542,0.743005372
7226839,0.029783606,0.108866744,0.86134965
7170691,0.053997399,0.312016922,0.633985678
6922966,0.014801194,0.21404816,0.771150651
7226846,0.009219989,0.076851732,0.913928281
7226264,0.009135083,0.021347946,0.969516737
7211497,0.00486457,0.036732936,0.958402497
7210744,0.065023371,0.392205145,0.542771488
7210499,0.002934459,0.020536933,0.976528605
7099165,0.065023371,0.392205145,0.542771488
7227103,0.056958224,0.181909809,0.761131971
7226540,0.029890309,0.167167108,0.802942584
7172514,0.088507669,0.361328252,0.550164072
7209584,0.003458373,0.034166739,0.962374717
6932283,0.020126092,0.192681702,0.787192213
7098566,0.012310106,0.129834171,0.857855715
7210872,0.006435241,0.042527857,0.951036907
7200321,0.037614567,0.079908167,0.882477271
7099101,0.024429562,0.074821385,0.900749046
7159576,0.003573308,0.020431111,0.975995581
7200658,0.001382207,0.011565477,0.987052322
7159000,0.004112377,0.016707688,0.979179938
7226177,0.006118815,0.014703314,0.979177868
7099062,0.012717001,0.201670232,0.785612766
7173760,0.017023525,0.067548089,0.915428417
6849380,0.009589591,0.167995755,0.822414649
7159162,0.005366035,0.096549743,0.89808423
7099160,0.002579392,0.050323375,0.947097236
7178285,0.003582416,0.009721614,0.986695962
7098477,0.026771329,0.122764347,0.850464326
7171390,0.004164737,0.010312543,0.985522582
7209557,0.002524954,0.018377073,0.979097973
7098961,0.015824162,0.154998742,0.829177092
7099018,0.002727859,0.015869599,0.981402504
7210568,0.002059029,0.015177166,0.982763829
7231575,0.001412476,0.011508968,0.987078556
6883047,0.013374908,0.196562862,0.79006223
7172848,0.024227009,0.099221304,0.876551688
7098816,0.008031518,0.059729098,0.932239379
7200503,0.020245532,0.069744706,0.910009762
7226513,0.002578851,0.028103121,0.969317912
7227037,0.001564205,0.018920493,0.979515305
7098573,0.003839832,0.013388811,0.982771577
6968157,0.001791325,0.010692082,0.987516583
7002797,0.006805598,0.024454425,0.968739795
7025731,0.068476115,0.504604313,0.426919579
7079502,0.034618298,0.08881829,0.876563413
6820888,0.030784411,0.220647805,0.748567781
7171469,0.05621682,0.301119632,0.642663541
7026229,0.001553278,0.010626214,0.987820503
7002527,0.002279199,0.014848839,0.98287196
7002045,0.000982611,0.073074274,0.925943123
7038943,0.018180843,0.13247647,0.849342688
7032547,0.068476115,0.504604313,0.426919579
7042693,0.001392585,0.020283087,0.978324329
7211330,0.002242094,0.013832623,0.983925284
6967585,0.014733261,0.2110234,0.774243343
7071629,0.032334268,0.183594704,0.784071022
6912749,0.193900237,0.404685767,0.401413994
7071697,0.006489381,0.070083428,0.923427197
7079366,0.010798131,0.149480344,0.839721528
6959138,0.027239021,0.045853287,0.926907638
7002195,0.000682438,0.009546181,0.989771525
7066721,0.000616027,0.011668681,0.987715288
7039587,0.001582913,0.023098359,0.975318644
7060624,0.02664683,0.143712041,0.82964113
7063304,0.002166649,0.011711825,0.986121628
7047689,0.000551037,0.009530561,0.989918411
7030902,0.026148766,0.077292383,0.896558845
7201545,0.211473001,0.402581102,0.385945897
6889765,0.039768404,0.225497301,0.7347343
6959915,0.004585731,0.03333118,0.962083089
7060339,0.032545741,0.030237041,0.937217224
7061467,0.029890654,0.167167324,0.802942023
7201450,0.003216946,0.020459466,0.97632376
7025707,0.038313461,0.165006585,0.796679953
7075976,0.001686168,0.013783886,0.984529955
7003095,0.011146608,0.112641733,0.876211654
7026017,0.005547566,0.01891066,0.975541772
7046870,0.032334268,0.183594704,0.784071022
7072211,0.000682438,0.009546055,0.989771648
6931762,0.089837181,0.442067482,0.468095331
7060308,0.002316667,0.016805884,0.980877459
7209884,0.018264776,0.058069311,0.923665916
7061109,0.006997418,0.012436222,0.980566137
7078746,0.002633203,0.019736625,0.977630171
6968888,0.015725295,0.194936651,0.789338047
7060990,0.063595513,0.235156146,0.701248345
7209493,0.037700532,0.194274163,0.768025311
7044535,0.011146347,0.112641973,0.876211676
7079105,0.018419031,0.030229213,0.951351751
7030523,0.012144328,0.121131611,0.866724062
7224118,0.022499753,0.182040048,0.795460204
7031105,0.047669229,0.209321096,0.743009668
6958478,0.004749952,0.089715771,0.905534273
6971335,0.022206457,0.053099988,0.924693558
7025122,0.007197708,0.015854131,0.976948155
7024693,0.004121782,0.021682061,0.974196015
7033280,0.015725295,0.194936651,0.789338047
7024653,0.007369645,0.013145321,0.979485092
7063390,0.065026564,0.285767191,0.649206252
7031713,0.022206457,0.053099988,0.924693558
7031649,0.027271516,0.045851537,0.926876894
6841489,0.177230897,0.384085593,0.438683507
7065224,0.001986569,0.013753491,0.984260178
7078766,0.027604818,0.180882058,0.791513129
7074401,0.010586179,0.127593032,0.861820797
7066534,0.000643173,0.013829438,0.985527368
7065751,0.010275527,0.033057288,0.956667074
7073743,0.000601489,0.057299227,0.942099285
7074205,0.00214084,0.07337164,0.924487525
7170514,0.001832495,0.027260125,0.970907382
7071792,0.001456241,0.013345891,0.985198112
7064412,0.065023371,0.392205145,0.542771488
